modeldate,candidate_inc,candidate_chal,candidate_3rd,state,tipping,vpi,winstate_inc,winstate_chal,winstate_3rd,voteshare_inc,voteshare_chal,voteshare_3rd,voteshare_other,voteshare_inc_hi,voteshare_chal_hi,voteshare_3rd_hi,voteshare_other_hi,voteshare_inc_lo,voteshare_chal_lo,voteshare_3rd_lo,voteshare_other_lo,margin,margin_hi,margin_lo,win_ec_if_win_state_inc,win_ec_if_win_state_chal,win_state_if_win_ec_inc,win_state_if_win_ec_chal,state_turnout,state_turnout_hi,state_turnout_lo
7/29/2024,Harris,Trump,Kennedy,Alaska,0.0021625,0.972386122,0.162750006,0.824450016,0.0128,39.09207153,53.11949921,5.483664036,2.304761887,49.4348793,63.87472153,13.94917965,4.40117979,28.62655067,41.90042114,0.238456994,0.698576629,-14.02742958,4.91418314,-32.97148895,0.697081387,0.687427998,0.305198699,0.910332084,321775,350954,293139
7/29/24,Harris,Trump,Kennedy,Rhode Island,0.0002625,0.082120597,0.94749999,0.050700001,0.0018,54.85969162,39.46619034,4.402966976,1.271155953,61.67256927,45.94112015,10.3044796,2.425955057,47.8946991,32.98683929,0.271567792,0.366813391,15.39350033,27.28072929,3.440287113,0.3916623,0.994575918,0.998318672,0.080994301,458621,499938,418085
7/29/24,Harris,Trump,Kennedy,Oklahoma,2.5E-05,0.0022776,0.0011,0.99742502,0.001475,29.43154907,65.18739319,4.012352943,1.368702054,35.47529984,72.04006958,9.954393387,2.629786015,23.46600914,57.92773056,0.191773698,0.394455791,-35.75585175,-24.00848961,-47.29436874,0.931818187,0.623380184,0.0027574,0.998714983,1438025,1583062,1295352
7/29/24,Harris,Trump,Kennedy,Ohio,0.0033625,0.092168003,0.069224998,0.930100024,0.000675,42.15869904,53.21026993,3.65990591,0.971132874,47.34503937,58.58235168,8.476231575,1.87599194,36.93856049,47.70973969,0.231614202,0.278648704,-11.05156994,-1.593971014,-20.45396042,0.993138313,0.668718398,0.184948504,0.999036312,5287585,5761321,4823012
7/29/24,Harris,Trump,Kennedy,Michigan,0.226062506,6.595616817,0.419649988,0.580224991,0.000125,46.83041,48.22341919,3.914809942,1.031368017,51.72713089,53.16096878,8.131299973,1.988690972,41.84951019,43.18511963,0.701980829,0.295931786,-1.393005967,7.530714035,-10.25907993,0.846121788,0.969106793,0.955208778,0.903184414,4959209,5396907,4528709
7/29/2024,Harris,Trump,Kennedy,California,0.000575,0.0053287,0.994949996,0.00365,0.0014,59.91313934,34.07907867,4.469375134,1.538403988,66.43586731,39.97686005,10.44721031,2.848589897,53.12508011,28.20605087,0.289167404,0.500484109,25.83407021,36.74008942,14.88920021,0.373360515,0.965753376,0.999327481,0.005662,15609755,17081524,14168762
7/29/2024,Harris,Trump,Kennedy,Colorado,0.0043625,0.209395006,0.836125016,0.161874995,0.002,50.38259888,42.8540802,4.735989094,2.027335882,56.26245117,48.5718689,10.63090038,3.837925911,44.36074829,37.05799103,0.342709005,0.622992277,7.5285182,17.42300987,-2.307849884,0.442069113,0.987953722,0.994350672,0.256876707,3011640,3275572,2748388
7/29/24,Harris,Trump,Kennedy,Minnesota,0.001575,0.076262303,0.835049987,0.164700001,0.00025,50.35731888,43.72394943,4.257828236,1.66089797,55.37937164,48.67388153,8.768283844,3.17058301,45.26261902,38.74362946,0.746471584,0.5043208,6.633369923,15.42012024,-2.140544891,0.444195002,0.995142698,0.997847915,0.263261497,2988137,3247964,2730149
7/29/24,Harris,Trump,Kennedy,ME-1,8.75E-05,0.0303175,0.972774982,0.02585,0.001375,57.8111496,38.07421875,2.475310087,1.639322042,64.25241089,45.19813156,6.947574139,3.339404106,51.51065063,31.42387009,0,0.256664902,19.7369194,32.04227829,7.312194824,0.381100386,0.96615088,0.997309923,0.040115599,406922,443887,370735
7/29/24,Harris,Trump,Kennedy,North Carolina,0.098899998,2.754021883,0.272199988,0.727800012,0,46.28469086,50.21741867,2.605232,0.892660379,50.73508072,54.70557022,5.600573063,1.732193947,41.81282043,45.63639832,0.297704905,0.253822595,-3.932729006,4.4473629,-12.32536983,0.958027184,0.841302574,0.701526582,0.98349601,5202480,5662367,4752514
7/29/24,Harris,Trump,Kennedy,Virginia,0.0095,0.34107551,0.708999991,0.29065001,0.00035,49.06864166,45.47415161,4.36896801,1.088243008,53.90184021,50.23797989,8.952777863,2.073740005,44.1869812,40.64941025,0.808451712,0.315529287,3.594485998,11.97282982,-4.769482136,0.522778571,0.995613277,0.997108102,0.464803398,4056119,4410276,3703185
7/29/24,Harris,Trump,Kennedy,Washington,0.0003875,0.0147888,0.973224998,0.026275,0.0005,53.95587921,38.84753036,4.69594717,2.500649929,59.58295822,44.17044067,9.609794617,4.67599678,48.20412064,33.47838974,0.788753986,0.787504315,15.1083498,24.7009201,5.509300232,0.381643504,0.990485311,0.999193013,0.041802201,3735100,4069159,3405182
7/29/24,Harris,Trump,Kennedy,NE-3,0,0,0.000825,0.996275008,0.0029,20.25128937,73.60175323,4.074164867,2.072787046,27.51882935,82.07946777,10.32258987,3.940279007,13.15071964,64.20187378,0.172550604,0.620547116,-53.35046005,-38.36629868,-67.82218933,0.75757581,0.62324661,0.0016814,0.997349679,266938,298727,236056
7/29/24,Harris,Trump,Kennedy,North Dakota,6.25E-05,0.0273304,0.004375,0.992699981,0.002925,29.34365082,64.91385651,2.976902008,2.765594959,36.72898102,73.06833649,9.008516312,5.286089897,21.94738007,56.29843903,0,0.851872981,-35.57020187,-21.17415047,-49.83332062,0.828571379,0.624962211,0.0097518,0.996506512,325669,359219,292921
